anon_ticket_number,issue_datetime,state,anon_plate_id,division,location,violation_desc,fine,issuing_agency,lat,lon,gps,zip_code
8979623,2017-12-06 12:29:00,PA,4728925,,6053 CASTOR AVE,BUS ONLY ZONE,51,PPA,40.035503,-75.08111,True,19149.0
8979624,2017-10-16 18:03:00,PA,4728926,,4300 CRESSON ST,STOPPING PROHIBITED,51,PPA,40.025712,-75.222495,True,19127.0
8979625,2017-11-02 22:09:00,PA,4728926,,4300 CRESSON ST,OVER TIME LIMIT,26,PPA,40.025792,-75.222557,True,19127.0
8979626,2017-11-05 20:19:00,PA,4728926,,4300 CRESSON ST,OVER TIME LIMIT,26,PPA,40.025898,-75.222708,True,19127.0
8979627,2017-11-11 13:53:00,NJ,4728927,,200 N 11TH ST,METER EXPIRED CC,36,PPA,39.956063,-75.157375,True,19107.0
8979628,2017-11-11 14:16:00,FL,4728928,,1100 ARCH ST,METER EXPIRED CC,36,PPA,39.953837,-75.158025,True,19107.0
8979629,2017-12-16 10:03:00,MD,4728929,,7100 CASTOR AVE,METER EXPIRED,26,PPA,40.048475,-75.068908,True,19149.0
8979630,2017-10-16 18:23:00,PA,1690479,,4423 PENNYPA,EXPIRED TAG,41,POLICE,,,,
8979719,2017-10-17 06:58:00,PA,2530595,,199 N 16TH ST,STOP PROHIBITED CC,76,PPA,39.95617,-75.166025,True,19102.0
8979720,2017-10-02 10:40:00,PA,4728988,,1300 W CHEW AVE,DOUBLE PARKED,51,POLICE,40.03962213217372,-75.14287977274066,False,
8979721,2017-12-21 19:15:00,NJ,4728989,,1000 LOCUST ST,HP RESERVED SPACE,301,PPA,39.947755,-75.158187,True,
8979722,2017-11-11 17:33:00,PA,2518169,,300 N FRONT ST,OVER TIME LIMIT CC,36,PPA,39.955535,-75.140308,True,
8979767,2017-11-14 16:17:00,PA,4729012,,400 PINE ST,OVER TIME LIMIT CC,36,PPA,39.943748,-75.150215,True,19106.0
8979768,2017-11-28 11:28:00,PA,4729012,,300 BAINBRIDGE ST,FIRE HYDRANT,76,PPA,39.940588,-75.147927,True,19147.0
8979769,2017-10-05 12:46:00,PA,1157415,,6437 CASTOR AVE,METER EXPIRED,26,PPA,40.040257,-75.076538,True,19149.0
8979770,2017-11-13 16:52:00,PA,4729013,,5614 N BROAD ST,METER EXPIRED,26,PPA,40.039637,-75.144698,True,19141.0
8979771,2017-11-21 16:03:00,PA,4729014,,1 HILLTOP RD,HP RESERVED SPACE,301,PPA,40.076718,-75.208598,True,
8979772,2017-10-17 11:04:00,NJ,4729015,,1212 SPRUCE ST,METER EXPIRED CC,36,PPA,39.946632,-75.161753,True,19107.0
8979816,2017-12-15 09:50:00,MD,4729029,,2048 POPLAR ST,BLOCKING DRIVEWAY CC,76,POLICE,39.97161138085283,-75.17093499828319,False,
8979817,2017-10-10 13:46:00,PA,1652787,,3900 CHESTNUT ST,METER EXPIRED CC,36,PPA,39.95546,-75.200672,True,19104.0
8979818,2017-12-21 11:01:00,PA,1652787,,1 S FRONT ST,LOADING ZONE   CC,51,PPA,39.94907,-75.142137,True,19106.0
8979860,2017-11-22 13:11:00,NJ,4729050,,300 SOUTH ST,METER EXPIRED CC,36,PPA,39.94147,-75.148672,True,
8979861,2017-11-22 11:08:00,PA,4729051,,1800 ALLEGHENY AVE,METER EXPIRED,26,PPA,39.995415,-75.112593,True,
8979904,2017-11-14 13:40:00,PA,4729074,,799 N 22ND ST,OVER TIME LIMIT,26,PPA,39.96898,-75.17388,True,19130.0
8979905,2017-11-22 13:42:00,PA,4729074,,799 N 22ND ST,OVER TIME LIMIT,26,PPA,39.969035,-75.173902,True,19130.0
8979906,2017-10-06 21:39:00,PA,4729075,,400 S 9TH ST,OVER TIME LIMIT CC,36,PPA,39.944332,-75.15673,True,19147.0
8979907,2017-12-02 09:25:00,PA,4729075,,715 PINE ST,STREET CLEANING,31,PPA,39.944287,-75.154152,True,19106.0
8979908,2017-10-16 20:34:00,PA,4729076,,3400 SPRUCE ST,STOP PROHIBITED CC,76,PPA,39.950805,-75.194435,True,19104.0
8979909,2017-11-22 17:20:00,PA,4729076,,130 N 3RD ST,STOP PROHIBITED CC,76,PPA,39.952975,-75.145013,True,19106.0
8979910,2017-11-09 13:44:00,PA,4729077,,1000 MCKEAN ST,OVER TIME LIMIT,26,PPA,39.924808,-75.162835,True,19148.0
8979911,2017-11-27 14:03:00,PA,2174984,,3333 WALNUT ST,METER EXPIRED CC,36,PPA,39.952792,-75.19144,True,19104.0
8979912,2017-12-01 19:24:00,PA,899046,,529 S 4TH ST,PASSENGR LOADNG ZONE,31,PPA,39.941865,-75.149152,True,19147.0
8979913,2017-12-08 18:59:00,PA,1437947,,4400 MAIN ST,METER EXPIRED,26,PPA,40.026695,-75.226427,True,19127.0
8979956,2017-10-21 21:13:00,PA,4729095,,3600 N BROAD ST,METER EXPIRED,26,PPA,40.008515,-75.151278,True,19140.0
8979957,2017-10-02 12:19:00,PA,2359531,,1 S 3RD ST,METER EXPIRED CC,36,PPA,39.9488,-75.146005,True,19106.0
8979958,2017-11-20 16:38:00,PA,4729096,,8407 GERMANTOWN AVE,METER EXPIRED,26,PPA,40.075235,-75.205163,True,19118.0
8979959,2017-10-23 18:26:00,PA,4729097,,500 S 4TH ST,EXPIRED INSPECTION,41,PPA,39.941877,-75.149028,True,19147.0
8979960,2017-10-17 08:52:00,DE,4729098,,1498 S PENN SQ,BUS ONLY ZONE   CC,76,SEPTA,39.95183225594996,-75.16481422914717,False,19102.0
8979961,2017-09-27 13:15:00,PA,4729099,,1600 COMMERCE,PARKING PROHBITED CC,51,CENTER C,,,,
8979962,2017-11-03 12:06:00,PA,4729099,,833 CHESTNUT ST,METER EXPIRED CC,36,PPA,39.950088,-75.154988,True,19107.0
8980010,2017-10-01 10:06:00,PA,4729132,,2200 FONTAIN ST,SIDEWALK,51,POLICE,39.98602605342791,-75.17090642796272,False,
8980011,2017-09-28 12:17:00,PA,4729133,,1600 N 26TH ST,CORNER CLEARANCE,51,POLICE,39.980010072696935,-75.17752977017251,False,19121.0
8980012,2017-10-01 00:30:00,PA,4729134,,1600 EDGLEY ST,EXPIRED INSPECTION,41,POLICE,39.9858803680448,-75.16046375119353,False,
8980013,2017-10-01 00:30:00,PA,4729134,,1600 EDGLEY ST,SIDEWALK,51,POLICE,39.9858803680448,-75.16046375119353,False,
8980014,2017-11-22 14:25:00,PA,4729135,,2000 S BROAD ST,METER EXPIRED,26,PPA,39.924648,-75.169585,True,19145.0
8980015,2017-12-06 11:20:00,PA,4729136,,1600 WALNUT ST,PASSENGR LOADNG ZONE,31,PPA,39.950175,-75.168645,True,19103.0
8980016,2017-12-10 00:00:00,PA,4729137,,2900 N BONSALL ST,SIDEWALK,51,POLICE,39.99973097804529,-75.16889273365354,False,
8980017,2017-12-13 09:01:00,PA,4729138,,802 PINE ST,PARKING PROHBITED CC,51,POLICE,39.94441394847652,-75.15586271676217,False,
8980018,2017-12-23 11:15:00,PA,4729139,,811 N 2ND ST,PARKING PROHBITED,41,POLICE,39.96354463136922,-75.14083272436127,False,19123.0
8980019,2017-11-15 15:19:00,PA,4729140,,1500 MONTROSE ST,OVER TIME LIMIT,26,PPA,39.93981,-75.168718,True,19146.0
8980020,2017-12-14 18:55:00,FL,4729141,,1 S 3RD ST,HP RESERVED SPACE,301,PPA,39.948973,-75.14602,True,19106.0
8980021,2017-09-30 07:25:00,NJ,4729142,,1500 W GIRARD AVE,SIDEWALK,51,POLICE,39.97178223027934,-75.16191384632889,False,
8980022,2017-09-28 18:55:00,PA,4729143,,28TH & MASTER ST,EXPIRED TAG,41,POLICE,,,,
8980023,2017-11-22 21:34:00,PA,4729144,,199 N 19TH ST,METER EXPIRED CC,36,PPA,39.956758,-75.170887,True,19103.0
8980024,2017-12-29 20:48:00,PA,4729144,,99 N 20TH ST,METER EXPIRED CC,36,PPA,39.955473,-75.172938,True,19103.0
8980025,2017-10-30 14:20:00,PA,4729145,,104 CHESTNUT ST,METER EXPIRED CC,36,PPA,39.948388,-75.142813,True,19106.0
8980026,2017-11-11 12:06:00,PA,4729145,,1 LETITIA ST,STOP PROHIBITED CC,76,PPA,39.949045,-75.143087,True,19106.0
8980027,2017-12-27 14:02:00,PA,4729145,,1200 PANAMA ST,PARKING PROHBITED CC,51,PPA,39.945565,-75.162335,True,19107.0
8980028,2017-12-28 12:51:00,PA,4729145,,1213 PINE ST,METER EXPIRED CC,36,PPA,39.945123,-75.161803,True,19107.0
8980029,2017-11-28 13:51:00,PA,4729146,,1 S 2ND ST,METER EXPIRED CC,36,PPA,39.949628,-75.14367,True,19106.0
8980030,2017-10-13 16:08:00,NC,4729147,,1800 SPRUCE ST,STOP PROHIBITED CC,76,PPA,39.948195,-75.172537,True,19103.0
8980031,2017-12-27 11:19:00,PA,4729148,,1849 E ALLEGHENY AVE,METER EXPIRED,26,PPA,39.995362,-75.112232,True,19134.0
8980032,2017-12-24 10:46:00,PA,2265337,,6489 MALVERN AVE,PARKING PROHBITED,41,POLICE,39.97985850231069,-75.25330234440331,False,19151.0
8980074,2017-10-07 19:02:00,NJ,4729171,,100 S 18TH ST,METER EXPIRED CC,36,PPA,39.950268,-75.172055,True,19103.0
8980075,2017-10-10 21:26:00,NJ,4729172,,200 DOCK ST,METER EXPIRED CC,36,PPA,39.946755,-75.145278,True,19106.0
8980076,2017-12-11 17:47:00,PA,4729173,,299 S 20TH ST,METER EXPIRED CC,36,PPA,39.94833,-75.17428,True,19103.0
8980077,2017-11-30 18:50:00,NJ,1787794,,1500 HUNTING,SIDEWALK,51,POLICE,,,,
8980078,2017-10-06 12:41:00,PA,732204,,1 S 39TH ST,METER EXPIRED CC,36,PPA,39.9556,-75.199985,True,19104.0
8980079,2017-10-27 12:56:00,PA,732204,,1 S 38TH ST,METER EXPIRED CC,36,PPA,39.955517,-75.198348,True,19104.0
8980080,2017-11-17 20:38:00,PA,4729174,,1100 SANSOM ST,METER EXPIRED CC,36,PPA,39.94949,-75.15947,True,19107.0
8980123,2017-11-20 09:57:00,PA,4729193,,4643 SANSOM ST,CORNER CLEARANCE,51,PPA,39.956572,-75.215377,True,19139.0
8980124,2017-12-08 10:23:00,PA,4729193,,1 S 47TH ST,EXPIRED INSPECTION,41,PPA,39.956258,-75.215565,True,
8980125,2017-12-12 00:00:00,PA,4729193,,1324 N 53RD ST,EXPIRED INSPECTION,41,POLICE,39.973777130949735,-75.22770591795566,False,19131.0
8980126,2017-12-01 19:35:00,PA,4729193,,4649 WALNUT ST,PARKING PROHBITED,41,POLICE,39.955668132536594,-75.21513888921505,False,
8980127,2017-11-11 12:54:00,PA,4729194,,5100 CHANCELLOR ST,OVER TIME LIMIT,26,PPA,39.956445,-75.225207,True,19139.0
8980128,2017-11-11 12:56:00,PA,4729195,,5100 CHANCELLOR ST,OVER TIME LIMIT,26,PPA,39.956307,-75.224428,True,19139.0
8980129,2017-11-10 21:47:00,PA,4729196,,1700 E PASSYUNK AVE,METER EXPIRED,26,PPA,39.928008,-75.16577,True,19148.0
8980130,2017-11-11 11:33:00,PA,4729197,,1 S 38TH ST,METER EXPIRED CC,36,PPA,39.955708,-75.198265,True,19104.0
8980131,2017-11-11 11:54:00,PA,4729198,,201 S 40TH ST,METER EXPIRED CC,36,PPA,39.953737,-75.202768,True,19104.0
8980132,2017-11-11 13:20:00,NY,4729199,,1 S 39TH ST,METER EXPIRED CC,36,PPA,39.956448,-75.199667,True,19104.0
8980133,2017-11-11 13:26:00,PA,4729200,,1 S 38TH ST,METER EXPIRED CC,36,PPA,39.955472,-75.19808,True,19104.0
8980134,2017-12-03 13:08:00,PA,4729200,,100 S 31ST ST,METER EXPIRED CC,36,PPA,39.95227,-75.18562,True,19104.0
8980135,2017-11-11 14:12:00,NY,4729201,,4000 CHESTNUT ST,METER EXPIRED,26,PPA,39.955755,-75.203168,True,19104.0
8980136,2017-10-17 11:40:00,PA,4729202,,4900 N HUTCHINSON ST,FIRE HYDRANT,76,PPA,40.028085,-75.139213,True,
8980137,2017-11-11 14:24:00,PA,4729203,,201 S 40TH ST,METER EXPIRED CC,36,PPA,39.954052,-75.202638,True,19104.0
8980138,2017-11-11 08:39:00,PA,4729203,,202 N 10TH ST,METER EXPIRED CC,36,PPA,39.955617,-75.155902,True,19107.0
8980139,2017-11-22 14:37:00,PA,4729203,,3700 N BROAD ST,BUS ONLY ZONE,51,PPA,40.009603,-75.1512,True,19140.0
